iter	Passed	Remaining
455	961	1146
456	962	1143
457	964	1141
458	965	1138
459	967	1136
460	969	1133
461	970	1130
462	972	1128
463	974	1125
464	975	1122
465	977	1120
466	979	1117
467	980	1114
468	982	1112
469	984	1109
470	985	1107
471	987	1104
472	988	1101
473	990	1099
474	992	1096
475	993	1094
476	995	1091
477	996	1088
478	998	1086
479	1000	1083
480	1001	1081
481	1003	1078
482	1005	1075
483	1006	1073
484	1008	1070
485	1010	1068
486	1011	1065
487	1013	1063
488	1015	1060
489	1016	1058
490	1018	1055
491	1020	1053
492	1022	1051
493	1023	1048
494	1025	1046
495	1027	1043
496	1028	1041
497	1030	1038
498	1032	1036
499	1033	1033
500	1035	1031
501	1037	1028
502	1038	1026
503	1040	1023
504	1041	1021
505	1043	1018
506	1044	1016
507	1046	1013
508	1048	1011
509	1050	1009
510	1052	1006
511	1053	1004
512	1055	1001
513	1057	999
514	1058	996
515	1060	994
516	1061	992
517	1063	989
518	1065	987
519	1067	985
520	1069	982
521	1070	980
522	1072	978
523	1074	975
524	1076	973
525	1077	971
526	1079	969
527	1081	967
528	1083	965
529	1085	962
530	1087	960
531	1089	958
532	1091	956
533	1094	954
534	1096	952
535	1097	950
536	1099	947
537	1100	945
538	1102	942
539	1103	940
540	1105	937
541	1107	935
542	1108	933
543	1110	931
544	1112	928
545	1114	926
546	1115	924
547	1117	921
548	1119	919
549	1121	917
550	1122	915
551	1124	912
552	1126	910
553	1128	908
554	1129	906
555	1131	903
556	1133	901
557	1134	898
558	1136	896
559	1138	894
560	1140	892
561	1142	890
562	1144	888
563	1145	885
564	1147	883
565	1149	881
566	1150	878
567	1152	876
568	1153	873
569	1155	871
570	1157	869
571	1159	867
572	1160	865
573	1162	862
574	1164	860
575	1165	857
576	1167	855
577	1168	853
578	1170	850
579	1171	848
580	1173	846
581	1175	844
582	1177	841
583	1178	839
584	1180	837
585	1181	834
586	1183	832
587	1184	830
588	1186	827
589	1188	825
590	1189	823
591	1191	821
592	1193	818
593	1194	816
594	1196	814
595	1198	812
596	1199	809
597	1201	807
598	1202	805
599	1204	803
600	1206	800
601	1207	798
602	1209	796
603	1210	793
604	1212	791
605	1214	789
606	1215	787
607	1217	784
608	1218	782
609	1220	780
610	1222	778
611	1223	775
612	1225	773
613	1227	771
614	1228	769
615	1230	767
616	1232	764
617	1233	762
618	1235	760
619	1236	758
620	1238	755
621	1240	753
622	1241	751
623	1243	749
624	1244	746
625	1246	744
626	1248	742
627	1249	740
628	1251	738
629	1252	735
630	1254	733
631	1256	731
632	1257	729
633	1259	727
634	1261	724
635	1262	722
636	1264	720
637	1265	718
638	1267	716
639	1269	713
640	1270	711
641	1272	709
642	1274	707
643	1275	705
644	1277	703
645	1279	700
646	1280	698
647	1282	696
648	1283	694
649	1285	692
650	1287	690
651	1288	687
652	1290	685
653	1292	683
654	1293	681
655	1295	679
656	1297	677
657	1298	675
658	1300	672
659	1302	670
660	1303	668
661	1305	666
662	1307	664
663	1308	662
664	1310	660
665	1311	657
666	1313	655
667	1315	653
668	1316	651
669	1318	649
670	1320	647
671	1321	645
672	1323	643
673	1325	640
674	1326	638
675	1328	636
676	1329	634
677	1331	632
678	1333	630
679	1335	628
680	1336	626
681	1338	624
682	1339	621
683	1341	619
684	1343	617
685	1344	615
686	1346	613
687	1347	611
688	1349	609
689	1351	607
690	1353	605
691	1354	603
692	1356	600
693	1358	598
694	1359	596
695	1361	594
696	1362	592
697	1364	590
698	1366	588
699	1367	586
700	1369	584
701	1370	581
702	1372	579
703	1374	577
704	1375	575
705	1377	573
706	1379	571
707	1380	569
708	1382	567
709	1384	565
710	1385	563
711	1387	561
712	1389	559
713	1390	557
714	1392	554
715	1393	552
716	1395	550
717	1397	548
718	1398	546
719	1400	544
720	1401	542
721	1403	540
722	1405	538
723	1406	536
724	1408	534
725	1409	532
726	1411	530
727	1413	528
728	1414	526
729	1416	523
730	1418	521
731	1419	519
732	1421	517
733	1423	515
734	1424	513
735	1426	511
736	1428	509
737	1430	507
738	1431	505
739	1433	503
740	1435	501
741	1436	499
742	1438	497
743	1439	495
744	1441	493
745	1443	491
746	1444	489
747	1446	487
748	1448	485
749	1449	483
750	1451	481
751	1452	479
752	1454	477
753	1456	475
754	1457	473
755	1459	471
756	1461	469
757	1462	467
758	1464	464
759	1465	462
760	1467	460
761	1469	458
762	1470	456
763	1472	454
764	1474	452
765	1475	450
766	1477	448
767	1479	446
768	1480	444
769	1482	442
770	1483	440
771	1485	438
772	1486	436
773	1488	434
774	1490	432
775	1491	430
776	1493	428
777	1495	426
778	1496	424
779	1498	422
780	1500	420
781	1501	418
782	1503	416
783	1504	414
784	1506	412
785	1508	410
786	1509	408
787	1511	406
788	1512	404
789	1514	402
790	1516	400
791	1517	398
792	1519	396
793	1520	394
794	1522	392
795	1524	390
796	1525	388
797	1527	386
798	1529	384
799	1530	382
800	1532	380
801	1534	378
802	1535	376
803	1537	374
804	1539	372
805	1540	370
806	1542	368
807	1544	367
808	1546	365
809	1547	363
810	1549	361
811	1550	359
812	1552	357
813	1554	355
814	1555	353
815	1557	351
816	1559	349
817	1560	347
818	1562	345
819	1564	343
820	1565	341
821	1567	339
822	1568	337
823	1570	335
824	1572	333
825	1574	331
826	1576	329
827	1578	327
828	1579	325
829	1581	323
830	1582	321
831	1584	319
832	1586	317
833	1587	316
834	1589	314
835	1591	312
836	1592	310
837	1594	308
838	1596	306
839	1597	304
840	1599	302
841	1601	300
842	1602	298
843	1604	296
844	1606	294
845	1607	292
846	1609	290
847	1611	288
848	1612	286
849	1614	284
850	1615	282
851	1617	280
852	1619	279
853	1620	277
854	1622	275
855	1624	273
856	1625	271
857	1627	269
858	1628	267
859	1630	265
860	1631	263
861	1633	261
862	1635	259
863	1636	257
864	1638	255
865	1640	253
866	1641	251
867	1643	249
868	1644	247
869	1646	246
870	1648	244
871	1649	242
872	1651	240
873	1652	238
874	1654	236
875	1656	234
876	1657	232
877	1659	230
878	1661	228
879	1662	226
880	1664	224
881	1666	222
882	1667	220
883	1669	219
884	1671	217
885	1672	215
886	1674	213
887	1675	211
888	1677	209
889	1679	207
890	1680	205
891	1682	203
892	1683	201
893	1685	199
894	1687	197
895	1688	196
896	1690	194
897	1692	192
898	1693	190
899	1695	188
900	1697	186
901	1698	184
902	1700	182
903	1702	180
904	1703	178
905	1705	176
906	1707	175
907	1708	173
908	1710	171
909	1712	169
910	1714	167
911	1715	165
912	1717	163
913	1719	161
914	1721	159
915	1722	157
916	1724	156
917	1725	154
918	1727	152
919	1729	150
920	1730	148
921	1732	146
922	1734	144
923	1735	142
924	1737	140
925	1738	138
926	1740	137
927	1742	135
928	1743	133
929	1745	131
930	1746	129
931	1748	127
932	1750	125
933	1751	123
934	1753	121
935	1755	120
936	1756	118
937	1758	116
938	1759	114
939	1761	112
940	1763	110
941	1764	108
942	1766	106
943	1768	104
944	1770	103
945	1771	101
946	1773	99
947	1774	97
948	1776	95
949	1777	93
950	1779	91
951	1781	89
952	1782	87
953	1784	86
954	1786	84
955	1787	82
956	1789	80
957	1791	78
958	1792	76
959	1794	74
960	1795	72
961	1797	71
962	1799	69
963	1800	67
964	1802	65
965	1804	63
966	1805	61
967	1807	59
968	1808	57
969	1810	55
970	1811	54
971	1814	52
972	1815	50
973	1817	48
974	1819	46
975	1820	44
976	1822	42
977	1824	41
978	1825	39
979	1827	37
980	1828	35
981	1830	33
982	1832	31
983	1833	29
984	1835	27
985	1837	26
986	1838	24
987	1840	22
988	1841	20
989	1843	18
990	1846	16
991	1848	14
992	1849	13
993	1851	11
994	1852	9
995	1854	7
996	1856	5
997	1857	3
998	1859	1
999	1860	0
