Date,Global,U.S.,Europe,Emerging markets
2017-01-01,4.1354236157438296,4.959973315543695,2.166110740493666,3.4389593062041377
2017-02-01,3.947524764937632,4.488111571236169,2.4740896446687763,3.4770979395068426
2017-03-01,3.7078177904766716,4.111860737346912,2.4985587876194226,3.171460218762196
2017-04-01,3.373934824474179,3.790212342819742,2.194809118028375,2.917630621672312
2017-05-01,3.1592256472868727,3.607524513197479,2.3413218875476765,2.5517263081047776
2017-06-01,3.085289564111926,3.8057698843254,2.196697169181974,2.299331629891629
2017-07-01,2.963321459589414,3.539705715760194,2.6403891902777983,2.0794114315203887
2017-08-01,2.8441476707742295,3.372499905597444,2.499918184450014,1.942338917769083
2017-09-01,2.6002114617292063,3.12055835966116,2.3120193336438164,1.5924452779840699
2017-10-01,2.4953113396352316,3.1347565043362264,2.318212141427622,1.2544841214898037
2017-11-01,2.638425617078055,3.1187458305537046,2.4600425440859977,1.6428940048082419
2017-12-01,2.4863242161440993,3.038692461641096,2.598398932621751,1.1271539516910707
2018-01-01,2.519704960539734,3.093370423049331,2.441010988457717,1.0920362002341242
2018-02-01,2.5989275869447583,3.239883192568632,2.2936674764308322,1.213475650433628
2018-03-01,2.6544362908605765,3.334889926617747,2.3022014676451,1.2270696187395427
2018-04-01,2.530051480861458,3.1661736755321175,2.318212141427622,1.097700353694922
2018-05-01,2.4783188792528383,3.0565156645310734,2.1697357987085772,1.3139199718051078
2018-06-01,2.398189988294087,2.9665689075736053,2.00600400266845,1.325474844865136
2018-07-01,2.2982743212456143,2.7905270180120105,2.1520636399108874,1.203506740342624
2018-08-01,2.2461641094062745,2.734489659773185,2.174116077384927,1.089241884526797
2018-09-01,2.2541694462975355,2.7069996349767806,2.1683764018779854,1.2992686948531775
2018-10-01,2.2461641094062745,2.646430953969316,1.998376276007909,1.3979760091633469
2018-11-01,2.204626984027091,2.6754314196886013,1.9819879919946672,1.1719385250544447
2018-12-01,2.0826588795045797,2.4234898737523167,1.9659773182121456,1.2569008269664106
2019-01-01,2.0007174594383716,2.2728989137412396,1.949966644429624,1.3575717144763229
2019-02-01,1.9554905426618685,2.214973504348815,1.9339559706471023,1.372751645751261
2019-03-01,1.9739826551034063,2.168225357785697,2.0780520346897973,1.4797663851372662
2019-04-01,2.169056100293281,2.44924289148741,2.0809973944894122,1.6748398303271408
2019-05-01,2.086057371581058,2.3373947411481906,2.223809583747659,1.3847596510881521
2019-06-01,2.142094729819884,2.411708434553857,2.335506689994591,1.4683625561695268
2019-07-01,2.158105403602405,2.5029390662957725,2.020806323712668,1.4536357571714527
2019-08-01,2.1605976311251562,2.5688698125794587,1.8724055030397666,1.4536357571714527
2019-09-01,2.314587083212711,2.7992875753647106,2.134844613390062,1.4448751998187528
2019-10-01,2.366244162775187,2.963170415497126,2.262174783188796,1.341561040693801
2019-11-01,2.3984165544325173,3.062859516407166,2.134089392928623,1.3658791395521577
2019-12-01,2.554445101765961,3.1187458305537046,2.2902689843543533,1.7699220864223997
