iter	Passed	Remaining
413	3345	4734
414	3351	4725
415	3358	4714
416	3365	4704
417	3372	4695
418	3379	4686
419	3385	4674
420	3391	4664
421	3396	4651
422	3403	4642
423	3409	4631
424	3415	4620
425	3420	4609
426	3426	4597
427	3432	4586
428	3439	4577
429	3445	4566
430	3451	4556
431	3455	4543
432	3462	4533
433	3467	4522
434	3472	4510
435	3479	4501
436	3485	4489
437	3490	4478
438	3495	4467
439	3500	4455
440	3505	4443
441	3512	4434
442	3519	4424
443	3525	4415
444	3532	4405
445	3537	4394
446	3543	4384
447	3548	4372
448	3554	4361
449	3559	4350
450	3565	4339
451	3569	4328
452	3576	4318
453	3581	4306
454	3586	4296
455	3591	4284
456	3596	4273
457	3602	4263
458	3608	4252
459	3613	4241
460	3618	4231
461	3624	4221
462	3631	4211
463	3637	4202
464	3643	4191
465	3650	4183
466	3656	4173
467	3662	4163
468	3668	4153
469	3672	4141
470	3679	4132
471	3684	4121
472	3690	4111
473	3696	4101
474	3702	4091
475	3707	4081
476	3715	4073
477	3720	4062
478	3725	4052
479	3731	4042
480	3738	4033
481	3746	4026
482	3752	4017
483	3760	4008
484	3765	3998
485	3771	3988
486	3779	3981
487	3786	3972
488	3793	3964
489	3799	3954
490	3805	3945
491	3811	3935
492	3816	3925
493	3821	3914
494	3827	3904
495	3834	3895
496	3839	3886
497	3845	3876
498	3850	3865
499	3856	3856
500	3861	3846
501	3867	3836
502	3874	3827
503	3880	3818
504	3887	3810
505	3893	3800
506	3899	3792
507	3906	3783
508	3913	3775
509	3920	3766
510	3927	3757
511	3933	3749
512	3939	3739
513	3944	3729
514	3951	3721
515	3957	3711
516	3961	3701
517	3967	3692
518	3973	3682
519	3980	3674
520	3985	3664
521	3990	3654
522	3997	3645
523	4002	3635
524	4008	3627
525	4015	3618
526	4020	3608
527	4027	3600
528	4034	3592
529	4041	3584
530	4048	3575
531	4054	3566
532	4063	3559
533	4069	3551
534	4075	3542
535	4080	3532
536	4086	3523
537	4092	3514
538	4097	3504
539	4103	3495
540	4109	3486
541	4114	3477
542	4120	3467
543	4125	3458
544	4132	3450
545	4139	3442
546	4144	3432
547	4149	3422
548	4155	3414
549	4161	3404
550	4166	3395
551	4172	3386
552	4177	3376
553	4183	3368
554	4189	3359
555	4197	3351
556	4205	3344
557	4210	3335
558	4216	3326
559	4224	3319
560	4231	3311
561	4238	3303
562	4243	3293
563	4250	3286
564	4256	3277
565	4263	3269
566	4268	3260
567	4274	3250
568	4281	3243
569	4287	3234
570	4292	3225
571	4298	3216
572	4303	3207
573	4310	3199
574	4315	3190
575	4320	3180
576	4328	3173
577	4337	3166
578	4344	3159
579	4350	3150
580	4356	3141
581	4363	3133
582	4368	3124
583	4374	3116
584	4380	3107
585	4385	3098
586	4391	3089
587	4397	3080
588	4402	3072
589	4408	3063
590	4413	3054
591	4419	3045
592	4425	3037
593	4431	3028
594	4437	3020
595	4442	3011
596	4447	3002
597	4453	2993
598	4459	2985
599	4464	2976
600	4469	2967
601	4476	2959
602	4483	2952
603	4491	2944
604	4498	2936
605	4505	2929
606	4510	2920
607	4516	2911
608	4521	2903
609	4527	2894
610	4533	2886
611	4538	2877
612	4543	2868
613	4549	2860
614	4554	2851
615	4559	2842
616	4565	2833
617	4570	2825
618	4576	2816
619	4582	2808
620	4587	2799
621	4592	2791
622	4598	2782
623	4604	2774
624	4611	2766
625	4617	2758
626	4621	2749
627	4629	2742
628	4636	2734
629	4643	2727
630	4648	2718
631	4654	2710
632	4660	2701
633	4665	2693
634	4671	2685
635	4677	2677
636	4682	2668
637	4688	2660
638	4693	2651
639	4699	2643
640	4706	2635
641	4711	2627
642	4718	2619
643	4725	2612
644	4733	2605
645	4740	2597
646	4745	2588
647	4751	2580
648	4756	2572
649	4761	2564
650	4767	2556
651	4774	2548
652	4782	2541
653	4787	2533
654	4793	2524
655	4799	2516
656	4804	2508
657	4809	2499
658	4815	2492
659	4822	2484
660	4827	2475
661	4834	2468
662	4840	2460
663	4846	2452
664	4852	2444
665	4858	2436
666	4864	2428
667	4869	2420
668	4876	2412
669	4882	2404
670	4887	2396
671	4892	2388
672	4897	2379
673	4903	2371
674	4910	2364
675	4918	2357
676	4926	2350
677	4933	2343
678	4939	2335
679	4945	2327
680	4952	2319
681	4958	2312
682	4964	2304
683	4970	2296
684	4975	2288
685	4981	2280
686	4986	2272
687	4992	2264
688	4999	2256
689	5004	2248
690	5009	2240
691	5016	2232
692	5022	2224
693	5028	2217
694	5033	2208
695	5039	2201
696	5045	2193
697	5051	2185
698	5060	2179
699	5066	2171
700	5071	2163
701	5078	2155
702	5083	2147
703	5090	2140
704	5096	2132
705	5101	2124
706	5107	2116
707	5114	2109
708	5120	2101
709	5127	2094
710	5132	2086
711	5138	2078
712	5144	2070
713	5149	2062
714	5155	2054
715	5161	2047
716	5168	2039
717	5173	2032
718	5179	2024
719	5186	2016
720	5194	2010
721	5198	2001
722	5206	1994
723	5213	1987
724	5218	1979
725	5223	1971
726	5230	1964
727	5236	1956
728	5242	1948
729	5248	1941
730	5253	1933
731	5258	1925
732	5264	1917
733	5269	1909
734	5275	1901
735	5281	1894
736	5286	1886
737	5293	1879
738	5299	1871
739	5306	1864
740	5313	1857
741	5318	1849
742	5325	1842
743	5331	1834
744	5338	1827
745	5345	1820
746	5351	1812
747	5357	1804
748	5362	1797
749	5368	1789
750	5374	1781
751	5380	1774
752	5384	1766
753	5391	1758
754	5395	1750
755	5401	1743
756	5408	1736
757	5415	1728
758	5423	1722
759	5429	1714
760	5435	1707
761	5441	1699
762	5447	1692
763	5454	1684
764	5460	1677
765	5467	1670
