iter	Logloss
0	0.6886363002
1	0.6848493304
2	0.6807754517
3	0.6769849505
4	0.6732635498
5	0.6699622018
6	0.6667023577
7	0.664040353
8	0.6609504918
9	0.6576283482
10	0.6540236555
11	0.6513745117
12	0.6479075405
13	0.6445889718
14	0.6416614641
15	0.6387320818
16	0.6354203578
17	0.6319597517
18	0.6292530169
19	0.6271366664
20	0.6244852121
21	0.6215498134
22	0.6190412249
23	0.6163752965
24	0.6138638742
25	0.6108103289
26	0.6079367501
27	0.6059364537
28	0.6037144252
29	0.6019786726
30	0.5995564924
31	0.5975279018
32	0.5952841622
33	0.5929727173
34	0.5899934605
35	0.5872649275
36	0.5852426583
37	0.583104248
38	0.5805631801
39	0.5782661656
40	0.5760394287
41	0.5741672625
42	0.5720981271
43	0.5696732875
44	0.5676831055
45	0.5657981219
46	0.5638997105
47	0.5619236537
48	0.5602716936
49	0.5584508405
50	0.556907523
51	0.5550094169
52	0.5531903512
53	0.5520750645
54	0.5504815238
55	0.5491066197
56	0.5470733643
57	0.5457173375
58	0.5440076556
59	0.5421937343
60	0.5408105033
61	0.5389500645
62	0.5373334612
63	0.5360416085
64	0.5346878052
65	0.5336765398
66	0.531746957
67	0.5301808384
68	0.528800136
69	0.5274571446
70	0.5262921143
71	0.5251071167
72	0.5240716117
73	0.5227851214
74	0.5219305856
75	0.5202757917
76	0.5186094448
77	0.5168138777
78	0.5156660679
79	0.5145527867
80	0.5134534563
81	0.5117781285
82	0.5103179932
83	0.5093310547
84	0.5085074289
85	0.5072659738
86	0.5060533796
87	0.5045776367
88	0.503702349
89	0.5023819406
90	0.5011022513
91	0.5000401088
92	0.4992387172
93	0.4976319667
94	0.4966614641
95	0.4952292306
96	0.4940137591
97	0.4927949742
98	0.4920392718
99	0.4910948835
100	0.4898804583
101	0.4887414115
102	0.4872094727
103	0.4857524763
104	0.4847471837
105	0.4838523647
106	0.4827786691
107	0.4818381609
108	0.4806137521
109	0.4799386161
110	0.4786774554
111	0.4774275861
112	0.4766214425
113	0.4758207049
114	0.4751058524
115	0.4743672398
116	0.4735161046
117	0.4726489694
118	0.4720179095
119	0.4707097517
120	0.4700667027
121	0.4691755458
122	0.4683303397
123	0.4676681955
124	0.4666969517
125	0.4657645089
126	0.4649700056
127	0.4639946202
128	0.4632441493
129	0.4623650251
130	0.4612707955
131	0.4609864589
132	0.4605177961
133	0.4597647095
134	0.4587765939
135	0.4581520299
136	0.457350987
137	0.456277989
138	0.4555373274
139	0.4549183437
140	0.4541539655
141	0.4534841919
142	0.4530024065
143	0.4521053641
144	0.4513512312
145	0.4505732945
146	0.4497039795
147	0.4490814209
148	0.4479496547
149	0.4469726562
150	0.4462740217
151	0.4457109724
152	0.4451041085
153	0.4445424979
154	0.4438726807
155	0.4431221226
156	0.4426690674
157	0.4419229126
158	0.4413647461
159	0.4408474731
160	0.4405849348
161	0.4401048061
162	0.4394349888
163	0.4388026646
164	0.4380075509
165	0.4370066616
166	0.4363850621
167	0.4356887381
168	0.4349117606
169	0.4341448975
170	0.4335848127
171	0.4328850446
172	0.4322843715
173	0.4314528111
174	0.4313131278
175	0.4307689558
176	0.4299453299
177	0.4294768415
178	0.4289198521
179	0.4284714617
180	0.4279328265
181	0.4274383545
182	0.4264475795
183	0.4257438442
184	0.4252560861
185	0.4246995762
186	0.4240659877
187	0.4235351998
188	0.4231464495
189	0.4225263323
190	0.4218488421
191	0.4212640817
192	0.4204268973
193	0.4198438372
194	0.4191340419
195	0.4184878104
196	0.4178068324
197	0.4173523821
198	0.4167249843
199	0.4161682129
200	0.4157283674
201	0.415370527
202	0.414655195
203	0.414228254
204	0.4138408116
205	0.4131706456
206	0.4126741682
207	0.412096732
208	0.4113160052
209	0.4108709717
210	0.4103172084
211	0.409763358
212	0.4092888096
213	0.4088555036
214	0.4084156145
215	0.4078123256
216	0.4071186175
217	0.4065056065
218	0.4056872559
219	0.4052571324
220	0.4047097342
221	0.4040625436
222	0.4033557565
223	0.4030385481
224	0.4027124023
225	0.4019870867
226	0.4015860421
227	0.4010722569
228	0.4005987549
229	0.3999480765
230	0.3994070871
231	0.3989016288
232	0.3984071568
233	0.3977430507
234	0.3970669992
235	0.3965246146
236	0.395974775
237	0.3955102975
238	0.3949802508
239	0.3944490269
240	0.3940209089
241	0.3933556257
242	0.3927767508
243	0.3922555978
244	0.3917095947
245	0.3911555699
246	0.3906537737
247	0.3902348982
248	0.389859096
249	0.3894549125
250	0.3891037423
251	0.3887525286
252	0.3879871477
253	0.3871851458
254	0.386734096
255	0.3862824358
256	0.3856463623
257	0.3852307129
258	0.3846318708
259	0.3841700963
260	0.3837689645
261	0.3833560617
262	0.382993818
263	0.3824499512
264	0.381912493
265	0.381270752
266	0.3808156913
267	0.3800941685
268	0.3796406337
269	0.3791492571
270	0.3789011928
271	0.3784095982
272	0.3780409459
273	0.3777272252
274	0.3772277832
275	0.3770352173
276	0.3767203195
277	0.3763620867
278	0.3757759312
279	0.3754581996
280	0.3749674334
281	0.3745755441
282	0.3741483416
283	0.3737234933
284	0.3734294782
285	0.372945731
286	0.3725796073
287	0.3720331247
288	0.3718647984
289	0.3716421945
290	0.3712155587
291	0.3707278442
292	0.3706816755
293	0.370254255
294	0.3697621373
